cpu,mem,net_in,net_out
91.49400299850075,39.18443528235882,31.06081459270365,4.670414792603698
91.92142496210207,39.19429257200606,31.07455280444669,4.6821627084386055
92.27505767751859,39.17776980261472,31.05017687772366,4.672391694437324
92.50266294699468,39.208285569363426,31.091422774537154,4.67156987065686
92.55838587641867,39.18323833543506,31.05823707440101,4.649936948297604
92.61068310220853,39.21467385721623,31.0785593220339,6.864663585002568
92.63117206982544,39.19543142144638,31.06991770573566,6.865087281795511
92.5920986411676,39.18102667337695,31.053729240060395,6.847005535983896
92.60757915731737,39.19480927449514,31.069112440787833,6.8648716030914985
92.63042394014963,39.194324189526185,31.068092269326684,6.865336658354114
92.62618453865336,39.1965012468828,31.070900249376557,6.8655860349127185
92.64656031904288,39.1959297108674,31.068963110667994,5.3160518444666005
92.61939182452642,39.19474077766699,31.068088235294116,5.319292123629113
92.5472736368184,39.20129564782391,31.072068534267135,5.32016008004002
92.2935871743487,39.19346192384769,31.06744238476954,5.323647294589178
91.9785749875436,39.20719730941704,31.078293472845044,5.320129546586946
91.77672564166458,39.217027161724396,31.086140044854222,5.321455270371294
91.51273726273726,39.192032967032965,31.060694305694305,6.044955044955045
91.49837945649465,39.19059835452505,31.067100473697334,6.048366990775368
91.6130577262415,39.215051676329715,31.08841441895639,6.0446180993193845
91.50449101796407,39.18167914171657,31.057175648702597,6.044910179640719
91.4711754429748,39.18320688794609,31.05891439980035,6.0479161467432
91.42554780876495,39.18977838645418,31.065099601593626,6.0458167330677295
91.27648839556004,39.197754793138245,31.070635721493442,4.0618062563067605
91.14121469632592,39.192509372656836,31.067458135466133,4.052236940764809
91.02567938170033,39.19611318873098,31.07027424582398,4.051608077786089
90.93567688855647,39.195417601595615,31.069493891797556,4.0528546497132885
90.91498379456495,39.207883320867616,31.080059835452506,4.0528546497132885
90.85796162471966,39.20647645153252,31.078372788437576,4.052329927734862
90.80239820134899,39.19017237072196,31.065306020484638,3.774918810891831
90.79944986246562,39.21170292573144,31.07921980495124,3.775943985996499
90.82751744765703,39.200939680957134,31.071071784646062,3.770687936191426
91.28735345472687,39.19484659516089,31.066896981790972,3.769768021950611
92.01870324189527,39.1924463840399,31.065817955112216,3.7718204488778055
92.48142607828471,39.201934679631016,31.07256045873847,3.7666417352281227
92.52383329173945,39.18978038432743,31.067002745195907,4.41776890441727
92.63849414111195,39.19662926950885,31.071159311892295,4.416853652455747
92.85735660847881,39.198957605985036,31.072925187032418,4.417705735660848
93.32144650929182,39.17364640883978,31.05587393269714,4.40733299849322
93.49264155649789,39.20767523073086,31.081591419306562,4.41656273384884
93.45913521619595,39.18407148212947,31.05926768307923,4.413896525868533
93.34219858156028,39.214257852077004,31.07959726443769,5.781914893617022
93.15566156163696,39.19503138337936,31.070241024353503,5.802159176500125
93.12165206508135,39.18693617021277,31.059504380475595,5.793992490613267
93.33765586034913,39.19737905236907,31.071104738154613,5.798753117206982
93.42703916188576,39.19356198553255,31.067440758293838,5.799950112247443
93.25268414481897,39.19889138576779,31.073717852684148,5.800249687890138
93.12159119339505,39.196384788591445,31.075689266950214,6.294220665499124
92.99750561237217,39.189032177600396,31.064809179346472,6.306809678223996
92.98530510585304,39.19160896637609,31.066687422166876,6.304856787048568
92.86864406779661,39.19088235294118,31.06533150548355,6.306081754735793
92.61419676214197,39.191945205479456,31.066986301369862,6.304856787048568
92.46211365902293,39.19223080757727,31.0669666001994,6.306081754735793
92.35589353612167,39.21089987325729,31.086550063371355,5.743219264892269
91.78927680798004,39.199162094763096,31.073201995012468,5.740648379052369
91.49601196410768,39.19950897308075,31.073310069790626,5.740528414755733
91.35176880916791,39.20092177379173,31.074028400597907,5.739412057797708
91.56443556443557,39.19929320679321,31.074375624375627,5.738761238761239
91.74350649350649,39.197524975024976,31.07222027972028,5.741008991008991
91.97026209677419,39.21022933467742,31.07787046370968,6.625
91.85739525492176,39.215964159515394,31.091166077738514,6.618626956082786
91.97394136807817,39.207639689300926,31.07326985717865,6.618641944374843
91.8236467947119,39.19873285108506,31.071778498378645,6.616612621601397
91.42550536561018,39.197704017968555,31.068330421761917,6.615423009732967
91.08954851583937,39.192424544774255,31.06483412322275,6.615614866550262
90.72934401602403,39.18829994992489,31.065368052078117,6.445668502754131
90.49625,39.192730000000005,31.06861,6.45175
90.30224438902744,39.20398004987531,31.077114713216957,6.448379052369077
90.07109004739337,39.2001970566226,31.073656772262407,6.436767273634323
90.04513715710723,39.201399002493766,31.07419451371571,6.444638403990025
90.09653280119731,39.200384135694684,31.073110501371914,6.448989773010726
90.21750126454224,39.22533889731917,31.093548305513405,4.994183105715731
90.264023934181,39.209860383944154,31.079067564198454,5.010969832959362
90.24095784484909,39.21275130955351,31.083105512596656,5.013469693190322
90.094,39.221105,31.091,5.01225
90.09519063045103,39.21235733864939,31.081467729877897,5.010465985546972
90.17820544863784,39.21076230942265,31.07859535116221,5.000249937515621
